r,m,c,b,f,dm,dc,db,df
1.695778404608385017e+02,8.514462997101060232e-06,3.030502199852064260e-01,6.592886620746177817e-01,8.154646729718850739e-01,2.153020124537838263e-05,-1.951191057125997117e-06,-1.858242675565288783e-06,-1.503884548452078396e-06
1.695839666253069140e+02,8.647387469831290590e-06,3.030502079260536941e-01,6.592886505882202819e-01,8.154646636758343670e-01,2.186632279343883270e-05,-1.985844127377323732e-06,-1.891804626867644526e-06,-1.531064504756201190e-06
1.695900927897752979e+02,8.782387091556663963e-06,3.030501956527359986e-01,6.592886388943665077e-01,8.154646542117751640e-01,2.220769168781182689e-05,-2.021111763506608302e-06,-1.925973257401384922e-06,-1.558736131053583398e-06
1.695962189542437102e+02,8.919494291859530541e-06,3.030501831614509367e-01,6.592886269893016848e-01,8.154646445766647878e-01,2.255438993095966048e-05,-2.057004859628941769e-06,-1.960759557284041988e-06,-1.586908340846100338e-06
1.696023451187120941e+02,9.058741953547158100e-06,3.030501704483353764e-01,6.592886148692105319e-01,8.154646347674108231e-01,2.290650067135091599e-05,-2.093534482211509513e-06,-1.996174694820011691e-06,-1.615590192292662838e-06
1.696084712831805064e+02,9.200163492351033897e-06,3.030501575094556865e-01,6.592886025302061581e-01,8.154646247808633452e-01,2.326410840498396360e-05,-2.130711900701297285e-06,-2.032230048277839031e-06,-1.644790914023529708e-06
1.696145974476489187e+02,9.343792866895492093e-06,3.030501443408055162e-01,6.592885899683279538e-01,8.154646146138123664e-01,2.362729900059134811e-05,-2.168548591837874665e-06,-2.068937210477091612e-06,-1.674519908792243494e-06
1.696207236121173025e+02,9.489664509448660507e-06,3.030501309383150099e-01,6.592885771795518046e-01,8.154646042629963842e-01,2.399615952453889171e-05,-2.207056213503412742e-06,-2.106307961806257662e-06,-1.704786731553253342e-06
1.696268497765857148e+02,9.637813461228220206e-06,3.030501172978330438e-01,6.592885641597709956e-01,8.154645937250868393e-01,2.437077858295161198e-05,-2.246246656954679433e-06,-2.144354324407271728e-06,-1.735601133582917418e-06
1.696329759410540987e+02,9.788275253174975689e-06,3.030501034151424355e-01,6.592885509048119763e-01,8.154645829967014370e-01,2.475124602024230557e-05,-2.286132001538367739e-06,-2.183088515390061487e-06,-1.766973024361960853e-06
1.696391021055225110e+02,9.941085992070305006e-06,3.030500892859484541e-01,6.592885374104231477e-01,8.154645720743938231e-01,2.513765313686234661e-05,-2.326724548126061584e-06,-2.222522981566259882e-06,-1.798912499870822680e-06
1.696452282699908949e+02,1.009628237130750166e-05,3.030500749058775423e-01,6.592885236722728637e-01,8.154645609546531393e-01,2.553009271653538156e-05,-2.368036823806696270e-06,-2.262670404457136225e-06,-1.831429846598643718e-06
1.696513544344593072e+02,1.025390159606607329e-05,3.030500602704867541e-01,6.592885096859588678e-01,8.154645496339115729e-01,2.592865883705638963e-05,-2.410081553344147277e-06,-2.303543670774569561e-06,-1.864535517621989299e-06
1.696574805989276911e+02,1.041398152951357722e-05,3.030500453752441037e-01,6.592884954469895309e-01,8.154645381085280365e-01,2.633344723996657819e-05,-2.452871716180807810e-06,-2.345155931761579102e-06,-1.898240180734484874e-06
1.696636067633961034e+02,1.057656056397788077e-05,3.030500302155457182e-01,6.592884809507999488e-01,8.154645263748026007e-01,2.674455500480610385e-05,-2.496420497034278642e-06,-2.387520551908734765e-06,-1.932554676896857806e-06
1.696697329278644872e+02,1.074167771399957166e-05,3.030500147867032923e-01,6.592884661927392864e-01,8.154645144289653924e-01,2.716208078439872055e-05,-2.540741322361617268e-06,-2.430651147086042244e-06,-1.967490051009911368e-06
1.696758590923328995e+02,1.090937262797062270e-05,3.030499990839421454e-01,6.592884511680694448e-01,8.154645022671759280e-01,2.758612483427799210e-05,-2.585847865480646485e-06,-2.474561589890683405e-06,-2.003057556518266975e-06
1.696819852568012834e+02,1.107968550728300814e-05,3.030499831024119350e-01,6.592884358719754978e-01,8.154644898855311075e-01,2.801678880825113685e-05,-2.631754015429876524e-06,-2.519265977403893576e-06,-2.039268629056898722e-06
1.696881114212696957e+02,1.125265726430397540e-05,3.030499668371652300e-01,6.592884202995440424e-01,8.154644772800484498e-01,2.845417615784080900e-05,-2.678473939183679806e-06,-2.564778696103844759e-06,-2.076134939232227760e-06
1.696942375857381080e+02,1.142832938317387457e-05,3.030499502831761616e-01,6.592884044457819614e-01,8.154644644466800818e-01,2.889839178030746914e-05,-2.726022027708943067e-06,-2.611114365820867879e-06,-2.113668347069563255e-06
1.697003637502064919e+02,1.160674402035190852e-05,3.030499334353265461e-01,6.592883883056021022e-01,8.154644513813025242e-01,2.934954227287945227e-05,-2.774412935789718548e-06,-2.658287881312583539e-06,-2.151880935794344189e-06
