r,m,c,b,f,T,V
168.3375504,5.07648635519e-14,0.303050898177,0.659289298534,0.815465187751,2.12910143169e-05,-0.00839523683726
168.3395633,1.69810927167e-05,0.303047851122,0.65928590923,0.815462435258,2.12905795418e-05,-0.00839523625371
168.3415762,3.39622212594e-05,0.303044804042,0.659282519886,0.815459682733,2.12913118212e-05,-0.00839523450312
168.343589,5.09438276259e-05,0.303041756835,0.659279130383,0.81545693008,2.12932111312e-05,-0.00839523158544
168.3456019,6.79263537372e-05,0.303038709404,0.6592757406,0.815454177203,2.12962775759e-05,-0.00839522750052
168.3476148,8.49102414991e-05,0.303035661649,0.659272350418,0.815451424005,2.13005114003e-05,-0.00839522224807
168.3496277,0.000101895932816,0.303032613471,0.659268959716,0.81544867039,2.13059129569e-05,-0.00839521582766
168.3516406,0.000118883869598,0.30302956477,0.659265568373,0.815445916259,2.13124827504e-05,-0.00839520823875
168.3536535,0.000135874493787,0.303026515448,0.659262176271,0.815443161517,2.13202214059e-05,-0.00839519948065
168.3556663,0.000152868247332,0.303023465405,0.659258783288,0.815440406067,2.13291296618e-05,-0.00839518955256
168.3576792,0.000169865572248,0.303020414541,0.659255389304,0.815437649812,2.13392084288e-05,-0.00839517845353
168.3596921,0.000186866910609,0.303017362758,0.6592519942,0.815434892656,2.13504587e-05,-0.0083951661825
168.361705,0.00020387270451,0.303014309957,0.659248597855,0.8154321345,2.13628816158e-05,-0.00839515273827
168.3637179,0.000220883396185,0.303011256037,0.659245200148,0.815429375249,2.13764784827e-05,-0.0083951381195
168.3657307,0.00023789942793,0.303008200901,0.659241800959,0.815426614806,2.13912506554e-05,-0.00839512232474
168.3677436,0.000254921242098,0.303005144447,0.659238400169,0.815423853073,2.14071997041e-05,-0.0083951053524
168.3697565,0.00027194928125,0.303002086578,0.659234997656,0.815421089954,2.14243273041e-05,-0.00839508720075
168.3717694,0.000288983987989,0.302999027193,0.6592315933,0.815418325351,2.14426351813e-05,-0.00839506786795
168.3737823,0.000306025805053,0.302995966193,0.659228186981,0.815415559168,2.14621253502e-05,-0.00839504735202
168.3757952,0.000323075175418,0.302992903479,0.659224778579,0.815412791308,2.14827998322e-05,-0.00839502565084
168.377808,0.000340132542092,0.302989838951,0.659221367971,0.815410021672,2.15046607484e-05,-0.00839500276217
168.3798209,0.000357198348322,0.302986772509,0.659217955039,0.815407250165,2.15277105504e-05,-0.00839497868363
