r,m,c,b,f,T,V
1214.360584,-4.27100590294e-24,0.302842519236,0.657956839984,0.81451948384,1.25759061277e-06,-0.00119717838714
1214.362598,4.24788901662e-06,0.302841875815,0.657956159611,0.814518931129,1.25761610269e-06,-0.00119717835331
1214.364613,8.49587413719e-06,0.302841232375,0.657955479216,0.8145183784,1.25770926233e-06,-0.0011971782518
1214.366627,1.27440655581e-05,0.302840588894,0.657954798776,0.814517825635,1.2578701005e-06,-0.00119717808262
1214.368641,1.69925734775e-05,0.302839945352,0.657954118266,0.814517272813,1.25809863322e-06,-0.00119717784574
1214.370655,2.12415081059e-05,0.302839301728,0.657953437664,0.814516719916,1.25839488466e-06,-0.00119717754114
1214.37267,2.54909796556e-05,0.302838658001,0.657952756944,0.814516166924,1.2587588852e-06,-0.00119717716879
1214.374684,2.97410983523e-05,0.302838014149,0.657952076084,0.814515613818,1.25919067303e-06,-0.00119717672865
1214.376698,3.39919744445e-05,0.302837370151,0.657951395059,0.814515060579,1.25969029444e-06,-0.00119717622067
1214.378712,3.82437181841e-05,0.302836725987,0.657950713846,0.814514507186,1.26025780167e-06,-0.0011971756448
1214.380727,4.24964398544e-05,0.302836081634,0.65795003242,0.814513953621,1.26089325546e-06,-0.00119717500099
1214.382741,4.67502497655e-05,0.302835437072,0.657949350758,0.814513399865,1.26159672393e-06,-0.00119717428915
1214.384755,5.10052582345e-05,0.302834792281,0.657948668836,0.814512845898,1.26236828141e-06,-0.00119717350922
1214.38677,5.52615756313e-05,0.302834147237,0.65794798663,0.8145122917,1.26320801114e-06,-0.00119717266111
1214.388784,5.95193123476e-05,0.302833501922,0.657947304116,0.814511737252,1.26411600307e-06,-0.00119717174474
1214.390798,6.37785787957e-05,0.302832856312,0.65794662127,0.814511182536,1.2650923539e-06,-0.00119717076
1214.392812,6.80394854566e-05,0.302832210388,0.657945938069,0.81451062753,1.26613716928e-06,-0.00119716970678
1214.394827,7.23021428272e-05,0.302831564127,0.657945254488,0.814510072217,1.26725056105e-06,-0.00119716858499
1214.396841,7.65666614465e-05,0.30283091751,0.657944570503,0.814509516576,1.26843264859e-06,-0.00119716739449
1214.398855,8.08331519285e-05,0.302830270513,0.657943886091,0.814508960589,1.2696835598e-06,-0.00119716613516
1214.400869,8.51017248983e-05,0.302829623118,0.657943201228,0.814508404235,1.27100342863e-06,-0.00119716480686
1214.402884,8.93724910539e-05,0.302828975301,0.657942515889,0.814507847496,1.27239239732e-06,-0.00119716340946
1214.404898,9.36455611617e-05,0.302828327042,0.657941830051,0.814507290351,1.27385061602e-06,-0.00119716194279
1214.406912,9.79210460052e-05,0.302827678319,0.657941143689,0.814506732782,1.27537824104e-06,-0.00119716040671
1214.408926,0.000102199056469,0.302827029112,0.65794045678,0.814506174769,1.2769754376e-06,-0.00119715880105
1214.410941,0.000106479703488,0.302826379399,0.657939769299,0.814505616291,1.27864237795e-06,-0.00119715712563
1214.412955,0.000110763098037,0.302825729158,0.657939081223,0.814505057331,1.28037924133e-06,-0.00119715538028
1214.414969,0.000115049351213,0.302825078369,0.657938392527,0.814504497868,1.28218621584e-06,-0.0011971535648
1214.416983,0.000119338574147,0.30282442701,0.657937703187,0.814503937882,1.28406349627e-06,-0.00119715167901
1214.418998,0.000123630878034,0.302823775059,0.65793701318,0.814503377355,1.28601128477e-06,-0.00119714972269
1214.421012,0.0001279263742,0.302823122496,0.65793632248,0.814502816266,1.28802979248e-06,-0.00119714769565
1214.423026,0.000132225173996,0.302822469299,0.657935631064,0.814502254595,1.29011923678e-06,-0.00119714559765
1214.42504,0.000136527388874,0.302821815446,0.657934938908,0.814501692324,1.29227984331e-06,-0.00119714342848
1214.427055,0.00014083313041,0.302821160916,0.657934245987,0.814501129433,1.29451184612e-06,-0.0011971411879
1214.429069,0.000145142510199,0.302820505688,0.657933552277,0.814500565901,1.29681548557e-06,-0.00119713887566
1214.431083,0.000149455639983,0.30281984974,0.657932857753,0.81450000171,1.29919101098e-06,-0.00119713649152
1214.433097,0.000153772631603,0.302819193051,0.657932162393,0.814499436839,1.30163867943e-06,-0.00119713403523
1214.435112,0.000158093596933,0.302818535599,0.65793146617,0.814498871268,1.30415875466e-06,-0.00119713150651
1214.437126,0.000162418648029,0.302817877362,0.657930769062,0.814498304979,1.30675150983e-06,-0.00119712890509
1214.43914,0.000166747897016,0.302817218319,0.657930071042,0.81449773795,1.30941722521e-06,-0.0011971262307
1214.441154,0.000171081456085,0.302816558449,0.657929372088,0.814497170163,1.31215618841e-06,-0.00119712348304
1214.443169,0.000175419437626,0.302815897729,0.657928672174,0.814496601597,1.3149686965e-06,-0.00119712066181
1214.445183,0.00017976195407,0.302815236138,0.657927971276,0.814496032232,1.3178550532e-06,-0.00119711776672
1214.447197,0.000184109117964,0.302814573655,0.65792726937,0.81449546205,1.32081557048e-06,-0.00119711479745
1214.449211,0.000188461042044,0.302813910258,0.657926566431,0.814494891029,1.32385056936e-06,-0.00119711175368
1214.451226,0.000192817839075,0.302813245924,0.657925862434,0.814494319149,1.32696037743e-06,-0.00119710863508
1214.45324,0.000197179621997,0.302812580633,0.657925157354,0.814493746391,1.33014533139e-06,-0.00119710544131
1214.455254,0.000201546503906,0.302811914362,0.657924451168,0.814493172735,1.33340577636e-06,-0.00119710217203
1214.457268,0.00020591859794,0.30281124709,0.65792374385,0.814492598161,1.33674206433e-06,-0.00119709882689
1214.459283,0.000210296017455,0.302810578794,0.657923035376,0.814492022648,1.34015455697e-06,-0.00119709540552
1214.461297,0.000214678875906,0.302809909453,0.65792232572,0.814491446176,1.34364362345e-06,-0.00119709190755
1214.463311,0.000219067286859,0.302809239045,0.657921614859,0.814490868726,1.34720964103e-06,-0.00119708833261
1214.465325,0.000223461364104,0.302808567548,0.657920902766,0.814490290277,1.35085299644e-06,-0.0011970846803
1214.46734,0.00022786122151,0.30280789494,0.657920189418,0.814489710808,1.35457408375e-06,-0.00119708095024
1214.469354,0.000232266973068,0.302807221199,0.657919474789,0.8144891303,1.35837330538e-06,-0.00119707714202
1214.471368,0.000236678733028,0.302806546303,0.657918758854,0.814488548733,1.36225107351e-06,-0.00119707325523
1214.473382,0.000241096615682,0.302805870229,0.657918041589,0.814487966085,1.3662078073e-06,-0.00119706928944
1214.475397,0.000245520735514,0.302805192956,0.657917322967,0.814487382337,1.37024393525e-06,-0.00119706524424
1214.477411,0.000249951207234,0.302804514462,0.657916602964,0.814486797468,1.37435989503e-06,-0.00119706111917
1214.479425,0.00025438814559,0.302803834723,0.657915881556,0.814486211458,1.37855613146e-06,-0.0011970569138
1214.481439,0.000258831665591,0.302803153719,0.657915158715,0.814485624286,1.38283309952e-06,-0.00119705262768
1214.483454,0.000263281882423,0.302802471426,0.657914434418,0.814485035932,1.38719126266e-06,-0.00119704826033
1214.485468,0.000267738911327,0.302801787823,0.657913708639,0.814484446374,1.39163109202e-06,-0.00119704381128
1214.487482,0.000272202867862,0.302801102886,0.657912981353,0.814483855594,1.39615306936e-06,-0.00119703928005
1214.489496,0.000276673867701,0.302800416594,0.657912252533,0.814483263569,1.40075768429e-06,-0.00119703466616
1214.491511,0.00028115202663,0.302799728924,0.657911522155,0.814482670279,1.405445435e-06,-0.0011970299691
1214.493525,0.000285637460769,0.302799039854,0.657910790194,0.814482075704,1.41021683024e-06,-0.00119702518837
1214.495539,0.000290130286302,0.302798349361,0.657910056622,0.814481479822,1.41507238632e-06,-0.00119702032344
1214.497553,0.000294630619608,0.302797657422,0.657909321416,0.814480882614,1.42001262914e-06,-0.0011970153738
1214.499568,0.000299138577371,0.302796964014,0.657908584548,0.814480284057,1.42503809471e-06,-0.00119701033889
1214.501582,0.000303654276319,0.302796269116,0.657907845994,0.814479684131,1.43014932663e-06,-0.00119700521819
1214.503596,0.000308177833462,0.302795572704,0.657907105727,0.814479082815,1.43534687912e-06,-0.00119700001113
1214.50561,0.00031270936606,0.302794874755,0.657906363722,0.814478480089,1.44063131578e-06,-0.00119699471716
1214.507625,0.000317248991434,0.302794175248,0.657905619953,0.81447787593,1.44600320837e-06,-0.00119698933569
1214.509639,0.000321796827247,0.302793474157,0.657904874393,0.814477270318,1.45146313972e-06,-0.00119698386615
1214.511653,0.000326352991306,0.302792771462,0.657904127017,0.814476663231,1.45701170116e-06,-0.00119697830794
1214.513667,0.00033091760161,0.302792067139,0.657903377798,0.81447605465,1.46264949378e-06,-0.00119697266046
1214.515682,0.000335490776485,0.302791361164,0.65790262671,0.814475444551,1.46837712938e-06,-0.00119696692311
1214.517696,0.000340072634377,0.302790653515,0.657901873728,0.814474832914,1.47419522821e-06,-0.00119696109525
1214.51971,0.000344663293919,0.302789944169,0.657901118823,0.814474219718,1.48010442057e-06,-0.00119695517626
1214.521724,0.000349262874133,0.302789233102,0.657900361972,0.814473604941,1.48610534784e-06,-0.00119694916549
1214.523739,0.0003538714941,0.302788520291,0.657899603146,0.814472988561,1.49219865962e-06,-0.0011969430623
1214.525753,0.000358489273188,0.302787805713,0.657898842319,0.814472370557,1.49838501666e-06,-0.00119693686602
1214.527767,0.000363116331098,0.302787089345,0.657898079464,0.814471750908,1.50466509015e-06,-0.00119693057599
1214.529781,0.000367752787586,0.302786371162,0.657897314556,0.814471129591,1.51103955982e-06,-0.00119692419152
1214.531796,0.000372398762789,0.302785651142,0.657896547567,0.814470506586,1.51750911751e-06,-0.00119691771191
1214.53381,0.000377054377097,0.302784929261,0.65789577847,0.81446988187,1.52407446471e-06,-0.00119691113648
1214.535824,0.000381719750984,0.302784205495,0.657895007239,0.814469255421,1.53073631226e-06,-0.0011969044645
1214.537838,0.000386395005381,0.302783479821,0.657894233846,0.814468627217,1.53749538353e-06,-0.00119689769525
1214.539853,0.000391080261379,0.302782752215,0.657893458265,0.814467997238,1.54435241093e-06,-0.001196890828
1214.541867,0.000395775640231,0.302782022653,0.657892680468,0.81446736546,1.55130813745e-06,-0.00119688386201
1214.543881,0.000400481263663,0.302781291112,0.657891900428,0.814466731861,1.55836331835e-06,-0.00119687679651
1214.545895,0.000405197253491,0.302780557566,0.657891118118,0.81446609642,1.56551871781e-06,-0.00119686963075
1214.54791,0.000409923731806,0.302779821994,0.657890333511,0.814465459114,1.57277511183e-06,-0.00119686236395
